EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
EPMEPR111D02,epm0078,apol5u8,HYP-NADC-11,srv10516,unit14848,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0079,apol5u8,HYP-NADC-11,srv14002,unit14849,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0080,apol5u8,HYP-NADC-11,srv11613,unit14850,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0081,apol5u8,HYP-NADC-11,srv14604,unit14941,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0083,apol5u8,HYP-NADC-11,srv10501,unit0395,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0085,apol5u8,HYP-NADC-11,srv10316,unit9700,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0086,apol5u8,HYP-NADC-11,srv10501,unit9701,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0087,apol5u8,HYP-NADC-11,srv10316,unit9819,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0088,apol5u8,HYP-NADC-11,srv10501,unit14942,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0089,apol5u8,HYP-NADC-11,srv10316,unit14943,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0090,apol5u8,HYP-NADC-11,srv10501,unit14944,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0091,apol5u8,HYP-NADC-11,srv10316,unit14945,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0092,apol5u8,HYP-NADC-11,srv10501,unit14946,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0093,apol5u8,HYP-NADC-11,srv10316,unit14947,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0213,apol5u8,TECHBUILD-NADC-01,srv17832,unit1997,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0216,apol5u8,TECHBUILD-NADC-01,srv17832,unit19745,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0218,apol5u8,TECHBUILD-NADC-01,srv10805,unit19746,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0221,apol5u8,TECHBUILD-NADC-01,srv14411,unit19747,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMEPR111D02,epm0224,apol5u8,TECHBUILD-NADC-01,srv14508,unit2251,EPMEPR111D02_APP,24,4,12,Prod,Y,
EPMFRC111D01,epm0025,apol5u8,HYP-NADC-11,srv11613,unit24872,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0026,apol5u8,HYP-NADC-11,srv10605,unit24873,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0027,apol5u8,HYP-NADC-11,srv10520,unit24874,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0028,apol5u8,HYP-NADC-11,srv14207,unit24875,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0029,apol5u8,HYP-NADC-11,srv12012,unit24876,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0030,apol5u8,HYP-NADC-11,srv13902,unit24877,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0034,apol5u8,HYP-NADC-11,srv10520,unit24878,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0035,apol5u8,HYP-NADC-11,srv13215,unit24879,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0037,apol5u8,HYP-NADC-11,srv14202,unit24880,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0038,apol5u8,HYP-NADC-11,srv10515,unit24881,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0187,apol5u8,HYP-NADC-11,srv13612,unit0496,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0194,apol5u8,HYP-NADC-11,srv14002,unit1494,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0195,apol5u8,HYP-NADC-11,srv13612,unit1495,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0196,apol5u8,HYP-NADC-11,srv10514,unit1496,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0197,apol5u8,HYP-NADC-11,srv12703,unit1497,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0200,apol5u8,HYP-NADC-11,srv11613,unit1498,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0201,apol5u8,HYP-NADC-11,srv14604,unit1513,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0202,apol5u8,HYP-NADC-11,srv11613,unit1574,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0203,apol5u8,HYP-NADC-11,srv14604,unit1624,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0205,apol5u8,HYP-NADC-11,srv10908,unit1750,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0206,apol5u8,HYP-NADC-11,srv13215,unit1769,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0207,apol5u8,HYP-NADC-11,srv13610,unit1778,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0208,apol5u8,HYP-NADC-11,srv12703,unit1787,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0209,apol5u8,HYP-NADC-11,srv14002,unit1823,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
