EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
OBIBIS111D06,obi0216,apol5u10,TECHPROD-NADC-01,srv12105,unit19664,OBIBIS111D06_BIS,36,4,18,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0217,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv11515,unit19730,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0217,apol5u10,TECHPROD-NADC-01,srv17831,unit19729,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0219,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv14805,unit20014,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0219,apol5u10,TECHPROD-NADC-01,srv14805,unit20013,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0220,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv11215,unit20016,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0220,apol5u10,TECHPROD-NADC-01,srv11812,unit20015,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0221,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv10611,unit20018,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0221,apol5u10,TECHPROD-NADC-01,srv11812,unit20017,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0225,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv10610,unit20151,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0225,apol5u10,TECHPROD-NADC-01,srv10610,unit20150,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0228,Windows 2008 R2 Standard (64) - v2,ADE-NADC-11,srv14905,unit20582,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0228,apol5u10,ADE-NADC-11,srv14505,unit20581,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0229,Windows 2008 R2 Standard (64) - v2,MISC-NADC-11,srv14014,unit20584,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
